"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","7/98","93/9396",0.0752688172043011,7.21658986175115,6.18513009448723,4.92989772277966e-05,0.000857043757960157,0.000654658483024992,"5747/5743/1282/1284/3688/3685/2335",7
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","11/98","253/9396",0.0434782608695652,4.16858917480035,5.2450362489589,6.13572234462724e-05,0.00099048089277554,0.000756585311668321,"7316/5747/60/3554/5336/87/3688/718/7323/9475/23048",11
"Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","9/98","170/9396",0.0529411764705882,5.07587034813926,5.50560127064745,6.65726258017489e-05,0.00100302756207968,0.000766169167121882,"60/87/8531/3688/4627/9475/9414/7082/861",9
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","8/98","138/9396",0.0579710144927536,5.55811889973381,5.53774895483427,9.14942101415959e-05,0.00129235571825004,0.000987174372580376,"5747/60/23365/6197/3688/9475/2335/8394",8
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","8/98","142/9396",0.0563380281690141,5.40155217016384,5.42565203433062,0.00011179548048697,0.00148622227000325,0.00113526060680267,"3320/5747/60/3554/659/4313/4205/3685",8
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","7/98","109/9396",0.0642201834862385,6.15727391874181,5.55984115676603,0.000135396603350927,0.00169997957540608,0.00129854052336561,"3320/3091/3554/4088/6774/3566/861",7
"Human Diseases","Infectious disease: bacterial","hsa05110","Vibrio cholerae infection","5/98","51/9396",0.0980392156862745,9.39975990396158,6.17488632310108,0.00017897295885166,0.00212883624739343,0.00162612549870761,"60/5336/535/9414/7082",5
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","9/98","203/9396",0.0443349753694581,4.25072886297376,4.80691890437936,0.000256693041598829,0.00290063137006676,0.00221566625380042,"60/3554/5861/23365/3688/4627/9475/10787/7082",9
"Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","7/98","122/9396",0.0573770491803279,5.50117096018735,5.13734269474756,0.00027265464350804,0.00293428330632462,0.00224137150552975,"60/3091/483/5336/3685/5579/9969",7
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","8/98","184/9396",0.0434782608695652,4.16858917480035,4.45619862348677,0.000650737162552616,0.00668484539713142,0.00510626290232675,"5747/23365/5336/659/3688/9475/817/55740",8
"Genetic Information Processing","Folding, sorting and degradation","hsa04120","Ubiquitin mediated proteolysis","7/98","142/9396",0.0492957746478873,4.72635814889336,4.59336204356182,0.00068322454745387,0.00671342381411194,0.0051280927131549,"7316/868/51366/7325/7323/7324/7328",7
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","6/98","110/9396",0.0545454545454545,5.22968460111317,4.58096154600665,0.000987198579362666,0.00929611995566511,0.00710090206208234,"3091/2034/6774/5336/5579/817",6
"Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","5/98","78/9396",0.0641025641025641,6.14599686028257,4.68513516106751,0.00128873581286215,0.0115398888809806,0.00881481963894187,"5747/60/1495/3688/2335",5
"Cellular Processes","Transport and catabolism","hsa04145","Phagosome","7/98","159/9396",0.0440251572327044,4.22102425876011,4.20526864618727,0.00132759783586503,0.0115398888809806,0.00881481963894187,"7057/60/7058/535/3688/3685/718",7
"Organismal Systems","Immune system","hsa04611","Platelet activation","6/98","126/9396",0.0476190476190476,4.56559766763848,4.13660832478242,0.00198662649223045,0.0160726313428424,0.0122771846307692,"60/23365/5336/3688/1278/9475",6
"Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","5/98","86/9396",0.0581395348837209,5.57427622211675,4.37485265559411,0.00199129945840526,0.0160726313428424,0.0122771846307692,"5747/868/5336/5579/817",5
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","8/98","226/9396",0.0353982300884956,3.39389561134188,3.73974008508479,0.00242785825130464,0.0189205505101672,0.0144525863235558,"5747/5743/3554/6774/23365/3685/5579/9475",8
"Environmental Information Processing","Signal transduction","hsa04370","VEGF signaling pathway","4/98","60/9396",0.0666666666666667,6.39183673469388,4.30128872910122,0.0034712667029914,0.0261502091625352,0.019975008396161,"5747/5743/5336/5579",4
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","5/98","99/9396",0.0505050505050505,4.84230055658627,3.94551932305783,0.00367773509797354,0.0268118752303877,0.0204804263520428,"60/7171/3688/3685/7168",5
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","7/98","196/9396",0.0357142857142857,3.42419825072886,3.52102342713814,0.00431367415801776,0.0304653237410004,0.0232711369050958,"7316/5743/3091/6774/5336/7538/718",7
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","5/98","105/9396",0.0476190476190476,4.56559766763848,3.77191950125634,0.00472823881152235,0.0314288815118839,0.0240071568139215,"1282/483/1284/54407/1278",5
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","5/98","105/9396",0.0476190476190476,4.56559766763848,3.77191950125634,0.00472823881152235,0.0314288815118839,0.0240071568139215,"60/7171/3688/3685/7168",5
"Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","4/98","71/9396",0.0563380281690141,5.40155217016384,3.82188193735272,0.00634054902782078,0.040941830865357,0.0312736854304544,"5336/535/7082/6868",4
"Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","4/98","73/9396",0.0547945205479452,5.25356443947442,3.74544361651352,0.00699150222531489,0.0438910973033657,0.0335265018991708,"6774/5336/5579/27436",4
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","7/98","216/9396",0.0324074074074074,3.10714285714286,3.21637127191018,0.00727248197913327,0.044421106142814,0.0339313526195692,"3303/3320/5747/6774/6648/9475/817",7
"Organismal Systems","Digestive system","hsa04971","Gastric acid secretion","4/98","76/9396",0.0526315789473684,5.04618689581096,3.63589588294687,0.00804850986156692,0.0478674533872138,0.0365638675151516,"60/483/5579/817",4
