"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","5/81","78/9396",0.0641025641025641,7.43589743589744,5.32224098213099,0.000542465615442435,0.00791999798545956,0.00574823213556546,"60/1495/3688/3678/8503",5
"Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","7/81","170/9396",0.0411764705882353,4.77647058823529,4.6334375538308,0.000633178857700828,0.00866663561478008,0.00629013207321217,"60/4478/8531/87/81/4627/3688",7
"Organismal Systems","Immune system","hsa04611","Platelet activation","6/81","126/9396",0.0476190476190476,5.52380952380952,4.76704430276072,0.000736763401209021,0.00949124616851622,0.00688862375124224,"60/23365/5500/5908/3688/8503",6
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","5/81","86/9396",0.0581395348837209,6.74418604651163,4.99002078790597,0.000848140911476284,0.0103190477562948,0.00748943144052158,"60/1495/3688/3678/6934",5
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","9/81","300/9396",0.03,3.48,4.07086363197132,0.00106062535521038,0.0122251027784775,0.00887282153112284,"3303/3164/3315/5924/2321/6197/2260/4208/5908",9
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","6/81","142/9396",0.0422535211267606,4.90140845070423,4.36817789703017,0.00137245141752498,0.0150283430218985,0.0109073770550669,"3320/60/3326/4205/4208/8503",6
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","5/81","101/9396",0.0495049504950495,5.74257425742574,4.46837487845823,0.0017446650700117,0.0181943643015506,0.0132052343644996,"5054/6774/1282/1284/8503",5
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","7/81","205/9396",0.0341463414634146,3.9609756097561,3.99696043718717,0.00188568693349592,0.0187711562925276,0.01362386253387,"3105/3106/87/6774/81/9586/8503",7
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","9/81","333/9396",0.027027027027027,3.13513513513514,3.69922686173445,0.00218352102060049,0.0200379161861379,0.0145432604859737,"3105/3106/1282/1284/3688/3678/9586/8503/6934",9
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","7/81","212/9396",0.0330188679245283,3.83018867924528,3.88657322489346,0.002281148009698,0.0200379161861379,0.0145432604859737,"60/9771/2321/2260/5908/3688/8503",7
"Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","6/81","157/9396",0.0382165605095541,4.43312101910828,4.04506893803054,0.00228743335458196,0.0200379161861379,0.0145432604859737,"60/5054/25937/1495/5500/6934",6
"Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","5/81","109/9396",0.0458715596330275,5.32110091743119,4.23125702844023,0.00243926535931788,0.0205461197573314,0.014912108067085,"6774/6197/5500/9586/8503",5
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","5/81","110/9396",0.0454545454545455,5.27272727272727,4.20326380216416,0.00253840439177402,0.0205892800666115,0.0149434332615157,"5054/3091/6774/2321/8503",5
"Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","5/81","115/9396",0.0434782608695652,5.04347826086956,4.06823581115507,0.00307856631393623,0.0238148697560731,0.0172845245525933,"4205/5144/2260/4208/9586",5
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","7/81","226/9396",0.0309734513274336,3.5929203539823,3.67924069885189,0.00326231092548947,0.0238148697560731,0.0172845245525933,"483/5144/10846/5500/5908/9586/8503",7
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","7/81","226/9396",0.0309734513274336,3.5929203539823,3.67924069885189,0.00326231092548947,0.0238148697560731,0.0172845245525933,"567/3105/3106/6774/23365/9586/8503",7
"Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","6/81","171/9396",0.0350877192982456,4.07017543859649,3.77813552892012,0.00350026839292266,0.024727702517744,0.0179470467684659,"3320/3303/3326/7991/30001/7323",6
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","7/81","238/9396",0.0294117647058824,3.41176470588235,3.51416837682574,0.00433627596274857,0.0296763886200605,0.0215387391570735,"57186/9771/5924/2321/2260/5908/8503",7
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","6/81","182/9396",0.032967032967033,3.82417582417582,3.58758990324958,0.00474780502106375,0.0315081605943322,0.0228682155719498,"567/3105/3106/5500/3678/8503",6
"Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","5/81","139/9396",0.0359712230215827,4.1726618705036,3.51394961074385,0.0068731233375431,0.0442710003212335,0.0321313196275235,"3320/3303/3326/9586/8503",5
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","4/81","89/9396",0.0449438202247191,5.21348314606742,3.72418185234579,0.00718820120834545,0.0449776018465044,0.0326441618785011,"1282/1284/3688/3678",4
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","6/81","203/9396",0.0295566502463054,3.42857142857143,3.26189323692186,0.00799906947663091,0.048661005982838,0.0353175289757681,"60/23365/4643/9267/4627/3688",6
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","4/81","93/9396",0.043010752688172,4.98924731182796,3.60512557569923,0.00837645317956118,0.0495795471979432,0.0359841943133354,"1282/1284/3688/8503",4
